village_name,created_time,households,road_conditions,total_population,gps_latitude,gps_longitude,_population_without_enough_rice,children_aged_0_-_18,distance_to_town_km,adult_males,adult_females,distance_to_hospital_km,nearest_health_centre,distance_to_pratom_km,annual_typhoid_cases,distance_to_health_centre_km,distance_to_mathayom_km,common_diseases,hosted_kht_projects,record_id
Ban Kaw Ka,2022-07-25 11:19:24,-1,,-1,,,,-1,,-1,-1,,,,-1,,,,Further Education Scholarships,zcrm_361303000001881669
Ban Kew Mae Oo Khor Noi,2022-07-25 11:19:24,9,,54,,,60.0,33,40.0,11,10,40.0,Ban Pang Tong,3.0,2,22.0,,diarrhea,WASH,zcrm_361303000001881670
Ban Kew Pak Ped,2022-07-25 11:19:24,28,,214,19.2169,97.97999,60.0,116,74.0,48,50,26.0,Ban Huay Tong,5.0,4,16.0,74.0,Flu and Ulcer,WASH,zcrm_361303000001881671
Ban Kha Noon,2022-07-25 11:19:24,17,,105,18.20182,98.08428,50.0,22,43.0,43,40,43.0,Ban Mae Lid Pa Kae,2.0,5,5.0,30.0,Flu. Ulcer and skin infection,WASH,zcrm_361303000001881672
Ban Khun Mae Hu,2022-07-25 11:19:24,55,,221,18.50773,98.01113,50.0,66,30.0,81,74,30.0,Ban Mae Pang Nok,20.0,5,20.0,30.0,Flu and Ulcer,WASH,zcrm_361303000001881674
Ban Khun Mae La Noi,2022-07-25 11:19:24,37,,92,,,,-1,,-1,-1,,,,-1,,,,Irrigation;Further Education Scholarships,zcrm_361303000001881676
Ban Khun Mae La Noi Tai,2022-07-25 11:19:24,-1,,-1,,,,-1,,-1,-1,,,,-1,,,,Further Education Scholarships,zcrm_361303000001881677
Ban Khun Mae La Tai,2022-07-25 11:19:24,30,,201,18.61816,98.11526,40.0,-1,72.0,-1,-1,72.0,Ban PaKae,6.0,2,10.0,,Flu. Ulcer and skin infection,Irrigation;WASH,zcrm_361303000001881678
Ban Khun Mae Song,2022-07-25 11:19:24,116,,338,18.535,97.76708,50.0,134,120.0,104,100,120.0,Ban Po Suar,5.0,20,30.0,30.0,Flu and Skin effection,WASH,zcrm_361303000001881680
Ban Khun Su,2022-07-25 11:19:24,-1,,-1,,,,-1,,-1,-1,,,,-1,,,,Further Education Scholarships,zcrm_361303000001881682
Ban Khun Wong Nua,2022-07-25 11:19:24,74,,237,18.07641,98.00478,50.0,106,22.0,64,67,22.0,Ban Mae Ho,,8,25.0,22.0,,WASH,zcrm_361303000001881683
Ban Khun Wong Tai,2022-07-25 11:19:24,70,Poor (not paved. lots of potholes),228,18.06871,98.01409,,70,33.0,83,75,33.0,Ban Mae Ho,,7,37.0,33.0,,WASH,zcrm_361303000001881684
Ban Kiew Kha Min,2022-07-25 11:19:24,37,,162,,,,-1,,-1,-1,,,,-1,,,,Further Education Scholarships,zcrm_361303000001881685
Ban Ko Mai Loo,2022-07-25 11:19:24,52,,301,,,30.0,222,52.0,35,44,52.0,Ban Papae,2.0,-1,5.0,,Flu. Ulcer,WASH,zcrm_361303000001881687
Ban Kok Luang,2022-07-25 11:19:24,82,,420,18.53201,98.13988,40.0,134,90.0,138,148,90.0,In the village,,4,,,Flu. Ulcer. Arthritis. high blood pressure,WASH,zcrm_361303000001881688
Ban Kong Pae Tai,2022-07-25 11:19:24,-1,,-1,,,,-1,,-1,-1,,,,-1,,,,Further Education Scholarships,zcrm_361303000001881690
Ban Kor Moo Der,2022-07-25 11:19:24,92,,505,17.92925,97.74395,90.0,220,90.0,129,156,60.0,Mae Sam Laeb,,13,12.0,,Flu,WASH,zcrm_361303000001881692
Ban Kra Baw Noi,2022-07-25 11:19:24,48,,229,17.88288,97.79634,50.0,80,50.0,76,73,30.0,Ban Mae Sam Laep,,7,20.0,,Skin effection,WASH,zcrm_361303000001881693
Ban Kre Bor,2022-07-25 11:19:24,47,,199,17.88299,97.79637,90.0,75,55.0,64,60,30.0,Mae Sam Laeb,,4,35.0,30.0,Flu,WASH,zcrm_361303000001881694
Ban La Oop,2022-07-25 11:19:24,163,,962,18.34237,98.0578,30.0,432,25.0,265,265,25.0,In the village,,-1,,,,WASH,zcrm_361303000001881695
Ban Maak Noon,2022-07-25 11:19:24,-1,,-1,,,,-1,,-1,-1,,,,-1,,,,Further Education Scholarships,zcrm_361303000001881698
Ban Mae Au,2022-07-25 11:19:24,36,,204,18.77433,98.03734,25.0,50,25.0,82,72,25.0,Ban Hua Pon,,1,4.0,,,WASH,zcrm_361303000001881699
Ban Mae Bang,2022-07-25 11:19:24,40,,203,,,60.0,67,61.0,68,68,61.0,Ban Mae Lui,,8,15.0,61.0,,WASH,zcrm_361303000001881700
Ban Mae Bor Tha,2022-07-25 11:19:24,25,,126,,,40.0,70,25.0,28,28,25.0,Ban Pa Pae,,3,4.0,,Flu. Skin Infection,WASH,zcrm_361303000001881701
Ban Mae Harn,2022-07-25 11:19:24,277,,1053,18.21005,97.89129,20.0,453,13.0,303,297,13.0,Ban Sop Harn,,5,6.0,,Flu. Ulcer,WASH,zcrm_361303000001881702
Ban Mae Hei,2022-07-25 11:19:24,32,,132,,,40.0,62,76.0,35,35,76.0,Ban Mae Tho,,4,16.0,,Flu. Ulcer,WASH,zcrm_361303000001881703
Ban Mae Hor,2022-07-25 11:19:24,-1,,-1,,,,-1,,-1,-1,,,,-1,,,,Further Education Scholarships,zcrm_361303000001881705
Ban Mae Hu,2022-07-25 11:19:24,49,,251,18.43715,97.99202,40.0,68,35.0,11,140,35.0,Ban Mae Hu,,7,,35.0,Flu,WASH,zcrm_361303000001881706
Ban Mae Ja Noi,2022-07-25 11:19:24,15,,110,19.27481,98.13777,90.0,41,18.0,36,33,18.0,Ban Pha Bong,18.0,5,8.0,,,WASH,zcrm_361303000001881707
Ban Mae Jae,2022-07-25 11:19:24,59,,382,18.74397,98.02142,50.0,105,40.0,138,139,40.0,In the village,,6,,40.0,Flu,Irrigation;WASH,zcrm_361303000001881709
Ban Mae Jang Bon,2022-07-25 11:19:24,21,Average (some paved road. some potholes),107,18.08325,98.05088,50.0,29,36.0,45,33,36.0,Ban Mae Ho,1.0,8,17.0,17.0,Flu,WASH,zcrm_361303000001881710
Ban Mae Jaw Klang,2022-07-25 11:19:24,40,,110,,,,-1,,-1,-1,,,,-1,,,,Irrigation,zcrm_361303000001881712
Ban Mae Jaw Nua,2022-07-25 11:19:24,16,,89,18.64099,98.02831,20.0,34,54.0,26,29,54.0,Ban Mae To,6.0,2,6.0,,Flu. Ulcer and skin infection,WASH,zcrm_361303000001881713
Ban Mae Jaw Tai,2022-07-25 11:19:24,45,,97,,,,-1,,-1,-1,,,,-1,,,,Irrigation,zcrm_361303000001881714
Ban Mae Jew Saw,2022-07-25 11:19:24,66,,337,,,40.0,76,52.0,130,131,52.0,Ban Mae Tho,,3,4.0,,Flu. Ulcer,WASH,zcrm_361303000001881715
Ban Mae Kha Nua,2022-07-25 11:19:24,34,,187,17.86616,98.00782,55.0,65,30.0,146,141,30.0,Ban Huay Muang,15.0,6,15.0,,Ulcer,WASH,zcrm_361303000001881716
Ban Mae Khae Noi,2022-07-25 11:19:24,24,,100,17.91669,97.80789,50.0,35,91.0,33,32,91.0,Ban Mae Sam Laep,,8,25.0,12.0,Flu ans Ulcer,WASH,zcrm_361303000001881717
Ban Mae Kheed Noi,2022-07-25 11:19:24,33,,144,18.52738,98.08076,60.0,69,40.0,37,38,40.0,Ban Mae Kheed,10.0,4,,10.0,Flu and cancer,WASH,zcrm_361303000001881719
Ban Mae Kho Joo,2022-07-25 11:19:24,54,,206,18.66808,98.01402,25.0,80,43.0,63,63,43.0,Ban Mae La Ka,,20,4.0,,Flu. Cold. Stomach. Flu,WASH,zcrm_361303000001881721
Ban Mae khor,2022-07-25 11:19:24,17,,76,18.61241,97.8565,40.0,29,35.0,24,23,35.0,Ban Mae Ki,5.0,1,5.0,35.0,Flu,WASH,zcrm_361303000001881722
Ban Maw Ko Jaw,2022-07-25 11:19:24,54,,232,,,40.0,62,80.0,77,93,80.0,Ban Paw Saw,4.0,15,18.0,18.0,Flu and Ulcer,WASH,zcrm_361303000001881723
Ban Mae Ko Pee,2022-07-25 11:19:24,82,,412,18.70616,98.06654,40.0,170,42.0,120,122,42.0,Ban Mae Jae,,5,13.0,,Flu. Ulcer,WASH,zcrm_361303000001881724
Ban Mae Kor,2022-07-25 11:19:24,-1,,-1,,,,-1,,-1,-1,,,,-1,,,,Further Education Scholarships,zcrm_361303000001881726
Ban Mae Kwang Nua,2022-07-25 11:19:24,43,Average (some paved road. some potholes),176,18.3165,98.01632,,51,20.0,65,60,20.0,Ban Huay Phueng,,7,3.0,3.0,3 Skin injection,WASH,zcrm_361303000001881727
Ban Mae Kwang Tai,2022-07-25 11:19:24,45,,168,18.29993,98.00051,50.0,95,30.0,35,38,30.0,Ban Huay Phuang,,6,7.0,30.0,Flu and Ulcer,WASH,zcrm_361303000001881728
Ban Mae La,2022-07-25 11:19:24,-1,,-1,,,,-1,,-1,-1,,,,-1,,,,Further Education Scholarships,zcrm_361303000001881729
Ban Mae La Ka,2022-07-25 11:19:24,96,,452,,,,151,377.0,155,146,37.0,Ban Mae La Ka,0.0,20,0.0,,,Further Education Scholarships;WASH,zcrm_361303000001881730
Ban Mae Lamong Nua,2022-07-25 11:19:24,34,,218,18.42977,97.88109,30.0,79,30.0,67,72,30.0,Ban Mae Su,,12,15.0,30.0,Flu. Ulcer,WASH,zcrm_361303000001881733
Ban Mae Lid,2022-07-25 11:19:24,-1,,-1,,,,-1,,-1,-1,,,,-1,,,,Further Education Scholarships,zcrm_361303000001881734
Ban Mae Lid -Pakae,2022-07-25 11:19:24,55,,263,,,40.0,-1,40.0,143,120,40.0,In the village,51.0,5,,,Flu,WASH,zcrm_361303000001881735
Ban Mae Lit Luang,2022-07-25 11:19:24,55,,305,18.18921,98.13689,40.0,180,44.0,62,63,44.0,Ban Mae Lid Pa Kae,,5,,,ulcer. high blood pressure. flu,Further Education Scholarships;WASH,zcrm_361303000001881736
Ban Mae Na Jang Tai,2022-07-25 11:19:24,85,,480,18.565,98.0989,50.0,-1,75.0,-1,-1,75.0,In the village,,7,,,Flu,Irrigation;WASH,zcrm_361303000001881738
Ban Mae Najang,2022-07-25 11:19:24,84,,420,,,,-1,,-1,-1,,,,-1,,,,Irrigation,zcrm_361303000001881739
Ban Mae Najang Nua,2022-07-25 11:19:24,49,,448,18.57837,98.08287,30.0,223,75.0,112,113,75.0,Ban Kok Luang,,2,15.0,,Diarrhea and Ulcer,WASH,zcrm_361303000001881740
Ban Mae Nill Nok,2022-07-25 11:19:24,57,,360,,,50.0,129,42.0,185,179,42.0,Ban Mae Na Chon,8.0,8,8.0,42.0,Flu and skin infection,WASH,zcrm_361303000001881741
Ban Mae Nin Nai,2022-07-25 11:19:24,50,,261,18.8933,98.13987,45.0,72,52.0,92,97,52.0,Ban Na Hong,,7,18.0,52.0,Flu,WASH,zcrm_361303000001881742
Ban Mae Ookhor Noi,2022-07-25 11:19:24,9,,54,18.91044,98.07681,60.0,33,40.0,11,10,40.0,Ban Pang Tong,3.0,2,22.0,,diarrhea,Further Education Scholarships;WASH,zcrm_361303000001881744
Ban Mae Ookhor Nua,2022-07-25 11:19:24,11,,59,18.84619,98.04371,50.0,30,20.0,14,15,20.0,Ban Pang Tong,4.0,-1,4.0,,,WASH,zcrm_361303000001881745
Ban Mae Oom Pai Nua,2022-07-25 11:19:24,42,,228,18.59939,98.02629,20.0,119,55.0,54,55,55.0,Ban Mae To,,9,5.0,,,WASH,zcrm_361303000001881746
Ban Mae Oomong,2022-07-25 11:19:24,38,,154,19.51834,98.26003,50.0,70,18.0,42,42,18.0,Pang Ma Pa,,1,18.0,,Flu,Further Education Scholarships;WASH,zcrm_361303000001881747
Ban Mae Oompai,2022-07-25 11:19:24,-1,,-1,,,,-1,,-1,-1,,,,-1,,,,Further Education Scholarships,zcrm_361303000001881748
Ban Mae Oompai Nua,2022-07-25 11:19:24,90,,-1,,,,-1,,-1,-1,,,,-1,,,,Irrigation;Further Education Scholarships,zcrm_361303000001881749
Ban Mae Pa Luang,2022-07-25 11:19:24,28,Average (some paved road. some potholes),133,17.86883,98.0263,50.0,37,42.0,61,35,20.0,Ban Huay Muang School,4.0,1,4.0,20.0,Flu,WASH,zcrm_361303000001881751
Ban Mae Pae,2022-07-25 11:19:24,65,,503,19.00722,98.70691,50.0,169,90.0,173,161,90.0,Sa La Jiang Tong,7.0,11,7.0,12.0,Flu,Irrigation;Further Education Scholarships;WASH,zcrm_361303000001881752
Ban Mae Pang Nae,2022-07-25 11:19:24,48,,222,,,40.0,82,13.0,70,70,13.0,Ban Mae Pang Nok,2.0,4,2.0,13.0,Flu and Ulcer,WASH,zcrm_361303000001881754
Ban Mae Piang Luang,2022-07-25 11:19:24,-1,,-1,,,,-1,,-1,-1,,,,-1,,,,Further Education Scholarships,zcrm_361303000001881756
Ban Mae Ping,2022-07-25 11:19:24,-1,,-1,,,,-1,,-1,-1,,,,-1,,,,Further Education Scholarships,zcrm_361303000001881757
Ban Mae Sa Kua,2022-07-25 11:19:24,58,,311,,,50.0,130,15.0,92,89,15.0,Ban Mae Tia,,5,22.0,,Flu. Skin Infection. Ulcer,WASH,zcrm_361303000001881761
Ban Mae Sa Kud,2022-07-25 11:19:24,28,,130,18.29699,98.0174,45.0,45,31.0,41,44,31.0,Ban Mae Tia,,7,35.0,5.0,,WASH,zcrm_361303000001881762
Ban Mae Sa Wan Luang,2022-07-25 11:19:24,50,Average (some paved road. some potholes),234,18.18644,98.08458,,92,32.0,71,71,32.0,Ban Mae Lid,0.0,7,5.0,0.0,,WASH,zcrm_361303000001881763
Ban Mae Sam Leab,2022-07-25 11:19:24,-1,,-1,,,,-1,,-1,-1,,,,-1,,,,Further Education Scholarships,zcrm_361303000001881764
Ban Mae Sam Peng Nua,2022-07-25 11:19:24,21,,90,,,50.0,36,30.0,27,27,30.0,Ban Mae Su,,3,8.0,30.0,Ulcer,WASH,zcrm_361303000001881765
Ban Mae Samaeng,2022-07-25 11:19:24,24,,106,18.44956,98.07254,,43,56.0,44,67,56.0,Ban Kad Luang,3.0,-1,10.0,,Flu,WASH,zcrm_361303000001881766
Ban Mae Sapueng Klang,2022-07-25 11:19:24,30,,112,18.39894,98.02352,50.0,41,39.0,37,34,39.0,Ban Mae Hu,3.0,5,12.0,39.0,Flu and Ulcer,WASH,zcrm_361303000001881769
Ban Mae Sapueng Tai,2022-07-25 11:19:24,44,,183,,,,-1,,-1,-1,,,,-1,,,,WASH,zcrm_361303000001881770
Ban Mae Satop Nua,2022-07-25 11:19:24,32,,250,,,40.0,124,34.0,61,65,34.0,Ban Pang Ung,,110,13.0,,Stomach ulcer. Influenza,WASH,zcrm_361303000001881771
Ban Mae Saw,2022-07-25 11:19:24,38,,153,18.72245,97.9478,50.0,45,20.0,54,54,20.0,Ban Mueng Pong,5.0,8,5.0,,,Irrigation;Further Education Scholarships;WASH,zcrm_361303000001881772
Ban Mae Sawan Luang,2022-07-25 11:19:24,-1,,-1,,,,-1,,-1,-1,,,,-1,,,,Further Education Scholarships,zcrm_361303000001881773
Ban Mae Sawan Noi,2022-07-25 11:19:24,-1,,-1,,,,-1,,-1,-1,,,,-1,,,,Further Education Scholarships,zcrm_361303000001881774
Ban Mae Su,2022-07-25 11:19:24,-1,,-1,,,,-1,,-1,-1,,,,-1,,,,School Buses,zcrm_361303000001881776
Ban Mae Surin Noi,2022-07-25 11:19:24,17,,82,18.94511,98.05146,30.0,35,45.0,23,24,45.0,Ban Paw New Khei,,2,4.0,,Flu. Ulcer,Further Education Scholarships;WASH,zcrm_361303000001881777
Ban Mae Surin Nua,2022-07-25 11:19:24,-1,,-1,,,,-1,,-1,-1,,,,-1,,,,Further Education Scholarships,zcrm_361303000001881778
Ban Mae Talu,2022-07-25 11:19:24,-1,,-1,,,,-1,,-1,-1,,,,-1,,,,Further Education Scholarships,zcrm_361303000001881779
Ban Mae Tho Klang,2022-07-25 11:19:24,137,,428,18.62173,98.02811,30.0,293,60.0,66,69,60.0,In the village,,2,,,Flu and Ulcer,Irrigation;WASH,zcrm_361303000001881782
Ban Mae Tho Noi,2022-07-25 11:19:24,93,,413,,,,-1,,-1,-1,,,,-1,,,,Irrigation,zcrm_361303000001881783
Ban Mae Top,2022-07-25 11:19:24,55,,250,,,50.0,85,95.0,82,83,95.0,Ban Sa La Jiang Tong,4.0,15,4.0,20.0,Flu and Skin effection,Irrigation;WASH,zcrm_361303000001881786
Ban Mae Yod,2022-07-25 11:19:24,55,,281,18.84447,98.15605,45.0,81,40.0,106,94,40.0,Ban Pang Uhg,,4,15.0,,Typhoid. Flue. Ulcer,WASH,zcrm_361303000001881788
Ban Mai Huay Wai,2022-07-25 11:19:24,-1,,-1,,,,-1,,-1,-1,,,,-1,,,,Further Education Scholarships,zcrm_361303000001881792
Ban Mai Poo Koo,2022-07-25 11:19:24,18,Good (paved roads. few potholes),74,19.06048,98.32013,20.0,28,6.0,24,22,6.0,Khun Yuam,,8,6.0,,Stomach. Flu,WASH,zcrm_361303000001881794
Ban Mai Sang Nam,2022-07-25 11:19:24,-1,,-1,,,,-1,,-1,-1,,,,-1,,,,Further Education Scholarships,zcrm_361303000001881795
Ban Manora,2022-07-25 11:19:24,31,,189,19.31473,98.44322,,68,25.0,58,63,25.0,Pang Ma Pa,,-1,25.0,,,WASH,zcrm_361303000001881796
Ban Muang Noi,2022-07-25 11:19:24,-1,,-1,,,,-1,,-1,-1,,,,-1,,,,Further Education Scholarships,zcrm_361303000001881797
Ban Muang Paem,2022-07-25 11:19:24,108,,528,19.5833,98.30855,50.0,210,13.0,161,157,13.0,Ban Tham Lod,,-1,6.0,,Flu. Ulcer,WASH,zcrm_361303000001881798
Ban Muang Pon,2022-07-25 11:19:24,-1,,-1,,,,-1,,-1,-1,,,,-1,,,,Further Education Scholarships,zcrm_361303000001881799
Ban Na Hua Laem,2022-07-25 11:19:24,42,,183,18.87181,97.81282,50.0,54,30.0,65,64,30.0,Ban Huay Na,,13,5.0,,Flu. Ulcer. blood pressure,Further Education Scholarships;WASH,zcrm_361303000001881800
Ban Na Pa Pae,2022-07-25 11:19:24,35,,193,18.48107,97.7637,50.0,46,90.0,83,64,90.0,Ban Sa La Jiang Tong,7.0,9,7.0,90.0,Flu,Irrigation;WASH,zcrm_361303000001881802
Ban Nae Jaa,2022-07-25 11:19:24,81,,356,,,,-1,,-1,-1,,,,-1,,,,Irrigation,zcrm_361303000001881803
Ban Nam Som,2022-07-25 11:19:24,-1,,-1,,,,-1,,-1,-1,,,,-1,,,,Further Education Scholarships,zcrm_361303000001881804
Ban Nangew,2022-07-25 11:19:24,-1,,-1,,,,-1,,-1,-1,,,,-1,,,,Further Education Scholarships,zcrm_361303000001881807
Ban Nong Mae La,2022-07-25 11:19:24,-1,,-1,,,,-1,,-1,-1,,,,-1,,,,School Meals,zcrm_361303000001881810
Ban Nong Muan,2022-07-25 11:19:24,85,,346,18.48009,98.0942,30.0,245,52.0,46,55,52.0,Ban Kok Luang,,1,12.0,,Flu,Further Education Scholarships;WASH,zcrm_361303000001881811
Ban Nong Pak Nam,2022-07-25 11:19:24,51,,256,18.10912,97.9365,15.0,98,7.0,77,81,5.0,Mae Sariang,7.0,20,5.0,,Stomach. Flu,Further Education Scholarships;WASH,zcrm_361303000001881812
Ban Omlarn,2022-07-25 11:19:24,35,,197,18.59847,98.19565,50.0,105,62.0,45,47,62.0,Ban Pakae,,5,4.0,,Flu. Ulcer,WASH,zcrm_361303000001881813
Ban Pa Kae Tai,2022-07-25 11:19:24,40,,250,18.61338,98.17514,30.0,80,94.0,84,86,94.0,Ban Pa Kae,,5,,30.0,ulcer. high blood pressure. flu,WASH,zcrm_361303000001881814
Ban Pa Kha,2022-07-25 11:19:24,-1,,-1,,,,-1,,-1,-1,,,,-1,,,,Further Education Scholarships,zcrm_361303000001881815
Ban Pa Kluay,2022-07-25 11:19:24,35,Good (paved roads. few potholes),117,18.22223,98.0359,20.0,43,27.0,39,35,27.0,Ban Mae Ho,2.0,3,22.0,27.0,Flu,WASH,zcrm_361303000001881816
Ban Pa La Pi Nua,2022-07-25 11:19:24,18,Very Poor (not paved. inaccesible in wet season),69,18.80271,98.23071,50.0,21,64.0,25,23,64.0,Ban Pong Oong,8.0,2,10.0,64.0,,WASH,zcrm_361303000001881817
Ban Pa La Pi Tai,2022-07-25 11:19:24,65,Good (paved roads. few potholes),323,18.80372,98.231558,25.0,70,40.0,131,122,40.0,Ban Pang Dong,0.0,15,17.0,80.0,,WASH,zcrm_361303000001881818
Ban Pa Pae Klang,2022-07-25 11:19:24,35,,87,,,,-1,,-1,-1,,,,-1,,,,Irrigation,zcrm_361303000001881820
Ban Pa Pong Scond,2022-07-25 11:19:24,45,,184,,,40.0,80,60.0,52,52,60.0,Ban Huay Kung,4.0,5,60.0,60.0,,WASH,zcrm_361303000001881822
Ban Pae,2022-07-25 11:19:24,215,,2113,18.22409,97.91208,20.0,318,8.0,94,1172,8.0,Ban Sop Harn,,3,,,Flu. Ulcer,WASH,zcrm_361303000001881823
Ban Pae Kha Puang,2022-07-25 11:19:24,-1,,-1,,,,-1,,-1,-1,,,,-1,,,,Further Education Scholarships,zcrm_361303000001881824
Ban Pahuey,2022-07-25 11:19:24,24,,236,18.16741,97.93263,30.0,169,46.0,33,34,46.0,Ban Pakae,2.0,2,4.0,,Flu. Ulcer,WASH,zcrm_361303000001881825
Ban Pakae Nua,2022-07-25 11:19:24,-1,,-1,,,,-1,,-1,-1,,,,-1,,,,Further Education Scholarships,zcrm_361303000001881826
Ban Pakhae,2022-07-25 11:19:24,-1,,-1,,,,-1,,-1,-1,,,,-1,,,,Further Education Scholarships,zcrm_361303000001881827
Ban Pang Oong,2022-07-25 11:19:24,-1,,-1,,,,-1,,-1,-1,,,,-1,,,,Further Education Scholarships,zcrm_361303000001881829
Ban Pang Tong Tai,2022-07-25 11:19:24,12,,71,18.91337,98.1294,70.0,31,20.0,20,20,20.0,Ban Pang Tong,3.0,2,3.0,,Headache. Skin infection,WASH,zcrm_361303000001881831
Ban Paw Naw Khee,2022-07-25 11:19:24,-1,,-1,,,,-1,,-1,-1,,,,-1,,,,Further Education Scholarships,zcrm_361303000001881833
Ban Paw Ta Law Khee,2022-07-25 11:19:24,35,,183,,,40.0,75,45.0,55,53,45.0,Ban Khun Mae Hu,,2,15.0,,Ulcer,WASH,zcrm_361303000001881834
Ban Mae Jaw,2022-07-25 05:36:37,45,,120,,,,-1,,-1,-1,,,,-1,,,,School Buses;Irrigation;Further Education Scholarships,zcrm_361303000001884037
Ban Mae Ookhor Luang,2022-07-25 05:43:47,49,,282,18.88618,98.05073,15.0,117,17.0,83,82,17.0,Ban Huay Pong,,6,15.0,,,Further Education Scholarships;WASH,zcrm_361303000001884078
Ban Huay Phueng,2022-07-25 07:10:57,-1,,-1,,,,-1,,-1,-1,,,,-1,,,,Further Education Scholarships,zcrm_361303000001884168
Ban Pha Aeh Doo,2022-07-25 11:19:26,57,,303,,,40.0,130,70.0,87,86,70.0,Mae La Noi,,7,10.0,70.0,Flu,WASH,zcrm_361303000001899092
Ban Pha Daeng Luang,2022-07-25 11:19:26,90,,256,18.57674,98.01635,60.0,-1,60.0,-1,-1,60.0,Ban Mae To,,1,20.0,,,Irrigation;WASH,zcrm_361303000001899093
Ban Pha La Pi,2022-07-25 11:19:26,28,,174,18.80189,98.2298,50.0,65,40.0,55,54,42.0,Ban Pang Ung,3.0,6,17.0,85.0,Flu and Ulcer,WASH,zcrm_361303000001899094
Ban Pha Tho,2022-07-25 11:19:26,27,,115,,,50.0,41,44.0,37,37,44.0,Ban Mae Ki,8.0,10,13.0,44.0,Flu. Ulcer,WASH,zcrm_361303000001899095
Ban Pha Wai,2022-07-25 11:19:26,110,,580,,,,-1,,-1,-1,,,,-1,,,,Irrigation,zcrm_361303000001899096
Ban Pha Wai Klang,2022-07-25 11:19:26,30,,150,,,,-1,,-1,-1,,,,-1,,,,Irrigation,zcrm_361303000001899097
Ban Piang Luang,2022-07-25 11:19:26,57,,454,19.68282,98.62659,20.0,54,34.0,205,195,34.0,Ban Mae Ki,3.0,4,3.0,,,Further Education Scholarships;WASH,zcrm_361303000001899099
Ban Po No Khee,2022-07-25 11:19:26,-1,,-1,,,,-1,,-1,-1,,,,-1,,,,Further Education Scholarships,zcrm_361303000001899100
Ban Prabart Huay Phueng,2022-07-25 11:19:26,52,,182,18.47005,98.03474,50.0,62,40.0,62,58,40.0,Ban Mae Hu,,4,10.0,,Flu and Ulcer,WASH,zcrm_361303000001899102
Ban Rak Mai Nua,2022-07-25 11:19:26,57,,350,,,50.0,115,,118,117,,Ban Paphae,,30,7.0,7.0,Flu. Ulcer,WASH,zcrm_361303000001899103
Ban Sa La Jiang Tong,2022-07-25 11:19:26,80,,280,,,,-1,,-1,-1,,,,-1,,,,Irrigation,zcrm_361303000001899105
Ban Sao Hin,2022-07-25 11:19:26,116,,426,18.55079,97.66752,40.0,125,107.0,156,145,107.0,Ban Sa La Jiang Tong,,20,,4.0,,Irrigation;WASH,zcrm_361303000001899109
Ban Siwader,2022-07-25 11:19:26,107,,423,17.92466,97.76701,45.0,164,71.0,125,134,71.0,Ban Mae Sam Laep,,15,15.0,,Flu ans Ulcer,WASH,zcrm_361303000001899110
Ban Sob Mae Sa Top,2022-07-25 11:19:26,60,,351,18.70611,98.24978,40.0,141,50.0,107,103,50.0,Ban Na Hong,22.0,5,15.0,50.0,Flu,WASH,zcrm_361303000001899111
Ban Som Poi,2022-07-25 11:19:26,91,,350,,,,-1,,-1,-1,,,,-1,,,,Irrigation;Further Education Scholarships,zcrm_361303000001899112
Ban Sud Huay Na,2022-07-25 11:19:26,26,,129,18.16981,98.14823,30.0,50,38.0,40,39,38.0,Ban Mae Lid Pa Kae,,2,10.0,,Flu. Ulcer,WASH,zcrm_361303000001899113
Ban Suk Jai,2022-07-25 11:19:26,-1,,-1,,,,-1,,-1,-1,,,,-1,,,,School Buses,zcrm_361303000001899114
Ban Tha Hin Som,2022-07-25 11:19:26,-1,,-1,,,,-1,,-1,-1,,,,-1,,,,Further Education Scholarships,zcrm_361303000001899116
Ban Tha Song Kaew,2022-07-25 11:19:26,-1,,-1,,,,-1,,-1,-1,,,,-1,,,,Further Education Scholarships,zcrm_361303000001899117
Ban Thung Ma Kham Pom,2022-07-25 11:19:26,65,,311,18.95415,98.07761,40.0,104,42.0,106,101,42.0,Ban Huay Mak Lang,4.0,5,8.0,4.0,Flu and Ulcer,Further Education Scholarships;WASH,zcrm_361303000001899118
Ban Thung Pra Pon,2022-07-25 11:19:26,25,,135,18.59948,98.20399,60.0,64,105.0,35,36,105.0,Ban Pa Kae,8.0,10,,40.0,Flu and Ulcer,WASH,zcrm_361303000001899120
Ban Tung Wang Kwang,2022-07-25 11:19:26,24,Poor (not paved. lots of potholes),92,,,40.0,31,,32,29,45.0,Ban Mae La Luang,11.0,5,20.0,10.0,,WASH,zcrm_361303000001899121
Ban Wa No,2022-07-25 11:19:26,98,,320,18.7657,98.0091,35.0,135,28.0,90,95,28.0,Ban Mae Jae,,3,5.0,28.0,Flu,WASH,zcrm_361303000001899122
Ban Wa Thoo,2022-07-25 11:19:26,20,,110,,,,-1,,-1,-1,,,,-1,,,,Irrigation,zcrm_361303000001899123
Ban Yod Phai,2022-07-25 11:19:26,35,Average (some paved road. some potholes),177,18.84884,98.12946,20.0,30,35.0,90,57,35.0,Ban Pang Ung,8.0,2,8.0,8.0,Ulcer. Flu,WASH,zcrm_361303000001899124
Huai Koo Pa,2022-07-25 11:19:26,-1,,-1,,,,-1,,-1,-1,,,,-1,,,,Further Education Scholarships,zcrm_361303000001899125
